,中文,英文,標籤,排名,地址
16,東京塔,Tokyo Tower,"自然景觀,觀景區",排名第 12的港區觀光 (共626家),東京都港區芝公園4-2-8105-0011
17,東京車站,Tokyo Central Railway Station,"自然景觀,觀景區,宗教",排名第 3的千代田區觀光 (共446家),東京都千代田區丸之內1-9-1100-0005
18,根津神社,Nezu Shrine,"自然景觀,宗教",排名第 2的Nezu觀光 (共11家),東京都文京區Nezu根津1-28-9113-0031
19,根津美術館,Nezu Museum,博物館,排名第 1的港區觀光 (共626家),東京都港區南青山6-5-1107-0062
20,千鳥淵,Chidorigafuchi,自然景觀,排名第 2的千代田區觀光 (共446家),東京都千代田區1-1 Kitanomarukoen102-0091
21,澀谷站前,十字路口 Shibuya Crossing,自然景觀,排名第 8的澀谷區觀光 (共279家),東京都澀谷區150-8010
22,秋葉原電器街,Akihabara,"遊客相關,自然景觀,其他",排名第 6的千代田區觀光 (共446家),東京都千代田區外神田秋葉原101-0021
23,東京國立美術館,"The National Art Center, Tokyo",博物館,排名第 7的港區觀光 (共626家),東京都港區7-22-2 Roppongi106-8558
24,,teamLab Borderless,"購物,博物館,場館",排名第 1的Aomi觀光 (共11家),"東京都江東區Aomi1-3-8Odaiba Palette Town, MORI Building Digital Art Museum: teamLab Borderless135-0064"
25,國技館,Ryogoku Kokugikan,"自然景觀,場館",排名第 2的墨田區觀光 (共264家),東京都墨田區橫綱1-3-28130-0015
26,歌舞伎劇場,Kabukiza Theater,表演活動,排名第 1的Ginza觀光 (共50家),東京都中央區Ginza銀座4-12-15104-0061
27,靖國神社,Yasukuni Shrine,"自然景觀,宗教",排名第 7的千代田區觀光 (共446家),東京都千代田區九段北3-1-1102-8246
28,上野,Ueno,"遊客相關,自然景觀,其他",排名第 11的台東區觀光 (共560家),東京都台東區Ueno
29,六義園,Rikugien Garden,自然景觀,排名第 4的文京區觀光 (共297家),東京都文京區本駒込6-16-3113-0021
30,赤坂離宮(迎賓館)舊址,Akasaka Palace (State Guesthouse),"自然景觀,遊客相關,觀景區",排名第 4的港區觀光 (共626家),東京都港區元赤坂2-1107-0051
31,國立科學博物館,National Museum of Nature and Science,博物館,排名第 9的台東區觀光 (共560家),東京都台東區上野公園7-20110-0007
32,國立西洋美術館,National Museum of Western Art,博物館,排名第 7的台東區觀光 (共560家),東京都台東區上野公園7-7110-0007
33,皇居東御苑,The East Gardens of the Imperial Palace (Edo Castle Ruin),"自然景觀,宗教",排名第 5的千代田區觀光 (共446家),東京都千代田區千代田1-1100-0001
34,小石川後樂園,Koishikawa Korakuen Garden,自然景觀,排名第 2的文京區觀光 (共297家),東京都文京區後樂1-6-6112-0004
35,表參道,Omotesando,"遊客相關,自然景觀,其他",排名第 2的Jingumae觀光 (共24家),東京都澀谷區Jingumae150-0001
36,代代木公園,Yoyogi Park,自然景觀,排名第 7的澀谷區觀光 (共279家),東京都澀谷區代代木神園町·神南二丁目151-0052
37,目黑川,Meguro River,自然景觀,"排名第 55的東京觀光 (共5,926家)",東京都
38,豪德寺,Gotokuji Temple,"自然景觀,宗教",排名第 1的世田谷區觀光 (共235家),東京都世田谷區2-24-7 Gotokuji154-0021
39,彩虹大橋,Rainbow Bridge,自然景觀,排名第 2的Daiba觀光 (共13家),東京都港區Daiba3-33 Kaigan
40,新宿黃金美食街,Shinjuku Golden Gai,自然景觀,排名第 1的Kabukicho觀光 (共10家),東京都新宿區Kabukicho歌舞會町1160-0021
41,合羽橋廚具街,Kappabashi Street (Kappabashi Dogugai),自然景觀,排名第 12的台東區觀光 (共560家),東京都台東區松谷3-18-2111-0036
42,增上寺,Zojo-ji Temple,"自然景觀,宗教",排名第 14的港區觀光 (共626家),東京都港區芝公園4-7-35105-0011
43,淺草文化觀光中心,Asakusa Culture Tourist Information Center,遊客相關,排名第 3的台東區觀光 (共560家),東京都台東區2-18-9 Kaminarimon111-0034
44,伊勢丹新宿店,Isetan Shinjuku Store,購物,排名第 1的Shinjuku 3 Chome觀光 (共6家),東京都新宿區Shinjuku 3 Chome新宿3-14-1160-0022
45,泉岳寺,Sengaku-ji Temple,"自然景觀,宗教",排名第 11的港區觀光 (共626家),東京都港區高輪2-20-20108-0074
46,上野阿美橫丁商店街,Ameyoko Shopping Street,"自然景觀,購物",排名第 2的Ueno觀光 (共7家),東京都台東區UenoUeno
47,中野百老匯,Nakano Broadway,購物,排名第 1的中野區觀光 (共142家),東京都中野區5-52-15 Nakano164-0001
48,,"Roppongi Hills, Shop & Restaurant",購物,排名第 2的Roppongi觀光 (共17家),東京都港區Roppongi6-10-1106-6108
49,新宿懷舊居酒屋街,Omoide Yokocho,"自然景觀,觀景區",排名第 14的新宿區觀光 (共419家),東京都新宿區西新宿7丁目160-0023
50,東京地鐵,Tokyo Metro,遊客相關,"排名第 5的東京觀光 (共5,926家)",東京都
51,東京海賊王塔,TOKYO ONE PIECE TOWER,"水上樂園和遊樂園,遊樂園",排名第 16的港區觀光 (共626家),東京都港區4-2-8 ShibakoenTokyo Tower Foot Town105-0011
52,八芳園,Happoen Garden,"自然景觀,觀景區",排名第 2的港區觀光 (共626家),東京都港區白金台1-1-1108-8631
53,三菱美術館,一號館 Mitsubishi Ichigokan Museum,"自然景觀,博物館,觀景區",排名第 4的千代田區觀光 (共446家),東京都千代田區2-6-2 Marunouchi100-0005
54,東京都庭園美術館,Tokyo Metropolitan Teien Art Museum,博物館,排名第 9的港區觀光 (共626家),東京都港區白金台5-21-9108-0071
55,Kidzania兒童社會體驗活動中心,KidZania Tokyo,"自然景觀,博物館",排名第 1的Toyosu觀光 (共5家),東京都江東區Toyosu豐洲2-4-9 Lalaport豐洲商城Urban Dock LaLaport Toyosu  North Port  3F135-8614
56,墨田水族館,Sumida Aquarium,"自然景觀,動物園和水族館",排名第 1的Oshiage觀光 (共8家),東京都墨田區Oshiage1-1-2 OshiageSolamachi 5F/6F131-0045
57,雷門,Nakamise Shopping Street (Kaminarimon),自然景觀,排名第 18的台東區觀光 (共560家),東京都台東區淺草1丁目3
58,神樂坂,Kagurazaka,"遊客相關,自然景觀,其他",排名第 9的新宿區觀光 (共419家),東京都新宿區Kaguradzaka160-0022
59,築地外圍海鮮市場,Tsukiji Jogaii Market,自然景觀,排名第 7的中央區觀光 (共577家),東京都中央區築地104-0045
60,神田明神神社,Kanda Shrine,"自然景觀,宗教",排名第 15的千代田區觀光 (共446家),東京都千代田區外神田2-16-2101-0021
61,,Diver City Tokyo購物廣場 Diver City Tokyo Plaza,購物,排名第 8的江東區觀光 (共343家),東京都江東區1-1-10 Aomi135-0064
62,葛西臨海水族園,Tokyo Sea Life Park,"自然景觀,動物園和水族館",排名第 2的江戶川區觀光 (共191家),東京都江戶川區臨海町6-2-3134-0086
63,東京中城,Tokyo Midtown,購物,排名第 24的港區觀光 (共626家),東京都港區9-7-2 Akasaka107-6290
64,東京都美術館,Tokyo Metropolitan Art Museum,博物館,排名第 16的台東區觀光 (共560家),東京都台東區8-36 Uenokoen110-0007
65,東京清真寺暨土耳其文化中心,Tokyo Camii & Turkish Culture Center,"自然景觀,宗教",排名第 3的澀谷區觀光 (共279家),東京都澀谷區1-19 Oyamacho151-0065
66,清澄庭園,Kiyosumi Teien,自然景觀,排名第 4的江東區觀光 (共343家),東京都江東區清澄3-3-9135-0024
67,明治神宮外苑,Meijijingu Gaien,自然景觀,排名第 6的新宿區觀光 (共419家),東京都新宿區霞丘町1番1號160-0013
68,東京晴空街道,TOKYO Solamachi,購物,排名第 4的墨田區觀光 (共264家),東京都墨田區1-1-2 Oshiage131-0045
69,新日本庭園酒店,Hotel New Otani Japanese Garden,自然景觀,排名第 1的千代田區觀光 (共446家),東京都千代田區紀尾井町4-1102-0094
70,惠比壽啤酒紀念館,Museum of Yebisu Beer,博物館,排名第 12的澀谷區觀光 (共279家),東京都澀谷區惠比壽4-20-1
71,東京大學,University of Tokyo,"自然景觀,教育景點,觀景區",排名第 6的文京區觀光 (共297家),東京都文京區本鄉7-3-1113-0033
72,等等力溪,森林浴 Todoroki Valley,自然景觀,排名第 6的世田谷區觀光 (共235家),"東京都世田谷區1-22, 2-37~38 Todoroki158-0082"
73,台場海濱公園,Odaiba Kaihin Koen (Odaiba Seaside Park),"自然景觀,表演活動",排名第 4的Daiba觀光 (共13家),東京都港區Daiba台場1135-0091
74,東京國立近代美術館,The National Museum of Modern Art,博物館,排名第 8的千代田區觀光 (共446家),東京都千代田區北之丸公園3-1102-0091
75,深川江戶資料館,Fukagawa Edo Museum,"自然景觀,博物館,觀景區",排名第 3的江東區觀光 (共343家),東京都江東區白河1-3-28135-0021
76,消防博物館,Fire Museum,博物館,排名第 1的Yotsuya觀光 (共9家),東京都新宿區Yotsuya四谷3-10160-0004
77,東京KITTE購物商城,Kitte Marunouchi,購物,排名第 17的千代田區觀光 (共446家),東京都千代田區2-7-2 Marunouchi100-0005
78,葛西臨海公園,Kasai Rinkai Park,自然景觀,排名第 4的江戶川區觀光 (共191家),東京都江戶川區6-2-1 Rinkaicho134-0086
79,日枝神社,Hie Jinjya,"自然景觀,宗教",排名第 9的千代田區觀光 (共446家),東京都千代田區永田町2-10-5100-0014
80,品川水族館,Shinagawa Aquarium,"自然景觀,動物園和水族館",排名第 1的品川區觀光 (共211家),東京都品川區3-2-1 KatsushimaShinagawa Ward Park140-0012
81,湯島天滿宮,Yushima Tenmangu,"自然景觀,宗教",排名第 9的文京區觀光 (共297家),東京都文京區湯島3-30-1113-0034
82,柴又帝釋天(帝釋天題經寺),Shibamata Taishakuten (Taishakuten Daikyoji Temple),"自然景觀,宗教",排名第 2的葛飾區觀光 (共139家),東京都葛飾區紫又7丁目10番3號125-0052
83,下北澤,Shimokitazawa,自然景觀,排名第 3的世田谷區觀光 (共235家),東京都世田谷區
84,日比谷公園,Hibiya Park,自然景觀,排名第 1的Hibiyakoen觀光 (共2家),東京都中央區Hibiyakoen日比谷公園1-6100-0012
85,,Tsukiji Fish Market,自然景觀,排名第 5的中央區觀光 (共577家),東京都中央區4-14-2 Tsukiji104-0045
86,,The Sumida Hokusai Museum,博物館,排名第 5的墨田區觀光 (共264家),東京都墨田區2-7-2 Kamezawa130-0014
87,原宿竹下通,Takeshita Street,"自然景觀,購物",排名第 3的Jingumae觀光 (共24家),東京都澀谷區Jingumae神宮前一丁目150-0001
88,忠犬八公像,Hachiko,"自然景觀,宗教",排名第 16的澀谷區觀光 (共279家),東京都澀谷區道玄坂1丁目Shibuya Train Station150-0043
89,城南島海濱公園,Jonanjima SeasidePark,自然景觀,排名第 2的大田區觀光 (共215家),東京都大田區4-2-2 Jonanjima143-0002
90,銀座三越,Ginza Mitsukoshi,購物,排名第 8的中央區觀光 (共577家),東京都中央區銀座4-6-16104-8212
91,世界貿易中心大廈眺望台,"Observatory, Seaside Top","自然景觀,觀景區",排名第 5的港區觀光 (共626家),東京都港區濱松町2-4-1World Trade Center Building105-0013
92,谷中銀座商店街,Yanaka,"遊客相關,自然景觀,其他",排名第 1的Nishinippori觀光 (共7家),東京都荒川區NishinipporiYanaka
93,皇居,Imperial Palace,"自然景觀,遊客相關,觀景區",排名第 34的千代田區觀光 (共446家),東京都千代田區千代田1‐1100-8111
94,舊古河庭園,Kyu Fukukawa Teien,"自然景觀,宗教",排名第 1的北區觀光 (共102家),東京都北區西原1-27-39114-0024
95,羽田機場,第二航廈展望台 Tokyo International Airport (Haneda) Terminal No2 Observation Deck,"自然景觀,觀景區",排名第 1的大田區觀光 (共215家),"東京都大田區Haneda, Tokyo International Airport, Terminal No2 5F144-0041"
96,池上本門寺,Ikegami Hommon-ji Temple,"自然景觀,宗教",排名第 3的大田區觀光 (共215家),東京都大田區池上1-1-1146-8576
97,,Tokyo Metropolitan Government Buildings Observatories,"自然景觀,遊客相關,觀景區",排名第 2的Nishishinjuku觀光 (共18家),"東京都新宿區Nishishinjuku2-8-145th floor, TMG No.1 Building163-8001"
98,,Jingu Gaien Ginkgo Tree-lined Street,"自然景觀,觀景區",排名第 1的Kitaaoyama觀光 (共10家),東京都港區Kitaaoyama2107-0061
99,東京巨蛋,Tokyo Dome,"自然景觀,場館",排名第 5的文京區觀光 (共297家),東京都文京區1-3-61 Koraku112-0004
100,明治神宮棒球場,Jingu Baseball Stadium,"休閒與娛樂,場館",排名第 11的新宿區觀光 (共419家),東京都新宿區3-1 Kasumigaokamachi160-0013
101,東京國立博物館,平成館 Tokyo National Museum The Heiseikan,博物館,排名第 1的Uenokoen觀光 (共10家),東京都台東區Uenokoen13-9 UenokoenInside Tokyo National Museum110-8712
102,LaQua天然溫泉,LaQua,"水上樂園和遊樂園,遊樂園,自然景觀",排名第 11的文京區觀光 (共297家),東京都文京區後樂1-3-61112-0004
103,舊岩崎府邸庭園,Kyu Iwasakitei Teien,"自然景觀,宗教",排名第 15的台東區觀光 (共560家),東京都台東區池之端1-3-45110-0008
104,地鐵博物館,Subway Museum,博物館,排名第 3的江戶川區觀光 (共191家),東京都江戶川區東葛西6-3-1134-0084
105,,Unicorn Gundam Statue,"自然景觀,宗教",排名第 5的江東區觀光 (共343家),東京都江東區1-1-10 AomiDiver City Tokyo Plaza135-0064
106,淺草神社,Asakusa Shrine,"自然景觀,宗教",排名第 2的Asakusa觀光 (共10家),東京都台東區Asakusa2-3-1111-0032
107,六本木,Roppongi,"遊客相關,自然景觀,其他",排名第 32的港區觀光 (共626家),東京都港區六本木106-0032
108,歌舞妓町,Kabukicho,"遊客相關,自然景觀,其他",排名第 2的Kabukicho觀光 (共10家),東京都新宿區Kabukicho
109,東京椿山莊大酒店,Hotel Chinzanso Tokyo Garden,自然景觀,排名第 1的文京區觀光 (共297家),東京都文京區關口2-10-8112-8667
110,水元公園,Mizumoto Park,自然景觀,排名第 1的葛飾區觀光 (共139家),東京都葛飾區水元公園125-0034
111,,Tokyo Trick Art Museum,博物館,排名第 30的港區觀光 (共626家),東京都港區1-6-1 DaibaDecks Tokyo Beach seaside Mall 4F135-0091
112,深川不動堂,Fukagawa Fudodo,"自然景觀,宗教",排名第 6的江東區觀光 (共343家),東京都江東區1-17-13 Tomioka135-0047
113,羽田機場,國際航廈展望台 Tokyo International Airport International Terminal Observation Deck,"自然景觀,觀景區",排名第 4的大田區觀光 (共215家),東京都大田區Haneda Airport144-0041
114,NHK放送主題公園,NHK Studio Park,自然景觀,排名第 15的澀谷區觀光 (共279家),東京都澀谷區神南2-2-1150-8001
115,東京杜莎夫人蠟像館,Madame Tussauds Tokyo,博物館,排名第 3的Daiba觀光 (共13家),東京都港區Daiba1-6-1 DaibaDecks Tokyo Beach Island Mall 3F135-0091
116,舊芝離宮恩賜庭園,Former Shiba Rikyu Gardens,自然景觀,排名第 18的港區觀光 (共626家),東京都港區1-4-1 Kaigan105-0022
117,新宿哥斯拉等比頭雕,Godzilla Head,自然景觀,排名第 23的新宿區觀光 (共419家),東京都新宿區1-19-1 KabukichoShinjuku Toho Bldg160-0021
118,愛宕神社,Atago Shrine,"宗教,自然景觀,觀景區",排名第 26的港區觀光 (共626家),東京都港區愛宕1-5-3105-0002
119,北之丸公園,Kitanomaru Park,"自然景觀,宗教",排名第 12的千代田區觀光 (共446家),東京都千代田區北之丸公園102-0091
120,三得利美術館,Suntory Museum of Art,博物館,排名第 23的港區觀光 (共626家),東京都港區9-7-4 Akasaka107-8643
121,,Ginza Six 購物中心 Ginza Six,購物,排名第 15的中央區觀光 (共577家),東京都中央區6-10-1 Ginza104-0061
122,下町風俗資料館,Shitamachi Museum,博物館,排名第 1的Ueno觀光 (共7家),東京都台東區Ueno上野公園2-1
123,都電荒川縣（東京櫻花路面電車）,Toei Streetcar(Toden) Arakawa Line(Tokyo Sakura Tram),遊客相關,"排名第 74的東京觀光 (共5,926家)",東京都
124,上野東照宮,Toshogu Shrine,"自然景觀,宗教",排名第 17的台東區觀光 (共560家),東京都台東區上野公園9-88
125,陽光國際水族館,Sunshine Aquarium,"自然景觀,動物園和水族館",排名第 7的豊島區觀光 (共179家),東京都豊島區3-1-3 HigashiikebukuroWorld Import Mart Bldg. Rooftop170-0013
126,,Nissan Crossing,博物館,排名第 6的中央區觀光 (共577家),"東京都中央區5-8-1 GInzaGinza Place 1F, 2F104-0061"
127,,Kinuta Park,自然景觀,排名第 2的世田谷區觀光 (共235家),東京都世田谷區Kinuta Koen157-0075
128,惠比壽花園廣場,Ebisu Garden Place,購物,排名第 19的澀谷區觀光 (共279家),東京都澀谷區惠比壽4-20150-0013
129,高島屋時代廣場,Takashimaya Times Square,購物,排名第 10的澀谷區觀光 (共279家),東京都澀谷區5-24-2 Sendagaya151-8580
130,江戶川區自然動物園,Edogawa Natural Zoo,"自然景觀,表演活動,動物園和水族館",排名第 1的江戶川區觀光 (共191家),東京都江戶川區3-2-1 KitakasaiGyosen Park134-0081
131,築地本願寺,Tsukiji Honganji Temple,"自然景觀,宗教",排名第 14的中央區觀光 (共577家),東京都中央區築地3-15-1104-0045
132,,Nippori Fabric Town,自然景觀,排名第 1的荒川區觀光 (共75家),東京都荒川區
133,澀谷貓街,Shibuya Cat Street,"自然景觀,購物",排名第 14的澀谷區觀光 (共279家),"東京都澀谷區Jingumae, Shibuya"
134,東京21_21Design,sight美術館 21 21 DESIGN SIGHT,博物館,排名第 1的Akasaka觀光 (共18家),東京都港區Akasaka9-7-6 Akasaka107-0052
135,神保町二手書街,Kanda Jimbocho Bookstore Area,"遊客相關,自然景觀,其他",排名第 10的千代田區觀光 (共446家),東京都千代田區Kanda Jinbocho101-0003
136,朝倉雕塑館,"ASAKURA Museum of Sculpture, Taito",博物館,排名第 14的台東區觀光 (共560家),東京都台東區谷中7-18-10110-0001
137,,Asahi Beer Headquarters,自然景觀,排名第 1的Azumabashi觀光 (共5家),東京都墨田區Azumabashi1-23-1 Azumabashi130-8602
138,,Meiji Shrine Imperial Garden,自然景觀,排名第 6的澀谷區觀光 (共279家),東京都澀谷區1-1 Yoyogikamizonocho151-0052
139,東京司教座聖瑪利亞大教堂,"St. Mary's Cathedral, Tokyo","自然景觀,宗教",排名第 8的文京區觀光 (共297家),東京都文京區關口3-16-15112-0014
140,豐川稻荷,Toyokawa Inari Tokyo Betsuin,"自然景觀,宗教",排名第 20的港區觀光 (共626家),東京都港區元赤坂1-4-7107-0051
141,,Kuhombutsu Joshin-ji Temple,"自然景觀,宗教",排名第 8的世田谷區觀光 (共235家),東京都世田谷區7-41-3 Okusawa158-0083
142,貨幣博物館,Bank of Japan Currency Museum,博物館,排名第 11的中央區觀光 (共577家),東京都中央區日本橋本石町1-3-1103-0021
143,,Honda Welcome Plaza Aoyama,自然景觀,排名第 1的Minamiaoyama觀光 (共12家),東京都港區Minamiaoyama2-1-1 Minamiaoyama1 Field Honda Aoyama Building107-8556
144,駒澤奧林匹克公園,Komazawa Olympic Park,"自然景觀,休閒與娛樂,場館",排名第 5的世田谷區觀光 (共235家),東京都世田谷區1-1 komazawa Koen154-0013
145,日本武道館,Nippon Budokan,"自然景觀,遊客相關,表演活動,場館",排名第 25的千代田區觀光 (共446家),東京都千代田區北之丸公園2-3102-0091
146,石神井公園,Shakujii Park,自然景觀,排名第 1的練馬區觀光 (共112家),東京都練馬區石神井台1丁目177-0045
147,陽光城60展望台,Sky Circus Sunshine60 Observatory,"自然景觀,觀景區",排名第 4的豊島區觀光 (共179家),東京都豊島區東池袋3-1-1Sunshine City Sunshine 60170-8630
148,日本國會議事堂,National Diet Building,"自然景觀,遊客相關",排名第 14的千代田區觀光 (共446家),東京都千代田區永田町1丁目7番1號100-0014
149,,Yanaka Ginza Shopping Street,自然景觀,排名第 23的台東區觀光 (共560家),東京都台東區Yanaka110-0001
150,100,Steps Stairs,自然景觀,排名第 6的目黑區觀光 (共108家),東京都目黑區1-8-1 ShimomeguroMeguro Gajoen153-0064
151,龜戶天神社,Kameido Tenjinsha,"自然景觀,宗教",排名第 1的Kameido觀光 (共15家),東京都江東區Kameido龜戶3-6-1136-0071
152,花園神社,Hanazono Shrine,"自然景觀,宗教",排名第 19的新宿區觀光 (共419家),東京都新宿區新宿5-17-3160-0022
153,太田現代美術博物館,Ota Memorial Museum of Art,博物館,排名第 5的澀谷區觀光 (共279家),東京都澀谷區惠比壽西2-8-1150-0001
154,,Tokyo Dome City Attractions,"水上樂園和遊樂園,遊樂園",排名第 17的文京區觀光 (共297家),東京都文京區1-3-61 Koraku112-8575
155,原美術館,Hara Museum of Contemporary Art (Hara Bijutsukan),博物館,排名第 6的品川區觀光 (共211家),東京都品川區北品川4-7-25140-0001
156,護國寺,Gokokuji Temple,"自然景觀,宗教",排名第 10的文京區觀光 (共297家),東京都文京區5-40-1 Otsuka112-0012
157,芝公園,Shiba Park,自然景觀,排名第 31的港區觀光 (共626家),東京都港區1～4 Chome Shiba Koen105-0011
158,東京大神宮,Tokyo Daijingu Shrine,"自然景觀,宗教",排名第 18的千代田區觀光 (共446家),東京都千代田區富士見2-4-1102-0071
159,目黑寄生蟲館,Meguro Parasitological Museum,"自然景觀,教育景點,博物館",排名第 2的目黑區觀光 (共108家),東京都目黑區下目黑4-1-1153-0064
160,HIS游客咨询中心,H.I.S. Tourist Information Center Harajuku,遊客相關,排名第 1的Jingumae觀光 (共24家),東京都澀谷區Jingumae1-19-11 JingumaeHarajuku Ash Bldg 1F150-0001
161,新宿中央公園,Shinjuku Chuo Park,"遊樂園,自然景觀,休閒與娛樂,場館",排名第 22的新宿區觀光 (共419家),東京都新宿區2-11 Nishishinjuku160-0023
162,,Hikarie 涉谷店 Shibuya Hikarie,購物,排名第 23的澀谷區觀光 (共279家),東京都澀谷區2-21-1 Shibuya150-0002
163,隅田川,Sumida River,自然景觀,"排名第 146的東京觀光 (共5,926家)",東京都
164,小網神社,Koami Shrine,"自然景觀,宗教",排名第 9的中央區觀光 (共577家),東京都中央區16-23 Nihombashi Koamicho103-0016
165,武藏小山商店街,Musashi Koyama Shopping Street Palm,自然景觀,排名第 3的品川區觀光 (共211家),"東京都品川區3 Chome, Koyama142-0062"
166,澀谷中央街,Shibuya Center-gai,"遊客相關,自然景觀,其他",排名第 27的澀谷區觀光 (共279家),東京都澀谷區Udagawacho150-0042
167,二重橋,Two-tiered Bridge (Ni-ju Bashi),"自然景觀,宗教",排名第 21的千代田區觀光 (共446家),東京都千代田區千代田1‐1100-0001
168,烏龜汐留,Caretta Shiodome,購物,排名第 37的港區觀光 (共626家),東京都港區1-8-2 Higashi-ShinbashiCaretta Shiodome105-7090
169,文京居民活動中心,Bunkyo Civic Center,"自然景觀,遊客相關",排名第 7的文京區觀光 (共297家),東京都文京區1-16-21 Kasuga112-0003
170,,Toyo Bunko Museum,博物館,排名第 14的文京區觀光 (共297家),東京都文京區2-28-21 Honkomagome113-0021
171,東京站畫廊,Tokyo Station Gallery,博物館,排名第 38的千代田區觀光 (共446家),東京都千代田區1-9-1 Marunouchi100-0005
172,Taishakuten-Sando,,"遊客相關,自然景觀,其他",排名第 4的葛飾區觀光 (共139家),東京都葛飾區7-6 Shimabata125-0052
173,代代木八幡宮,Yoyogi Hachimangu Shrine,"自然景觀,宗教",排名第 13的澀谷區觀光 (共279家),東京都澀谷區代代木5-1-1151-0053
174,瀧泉寺,Ryusen-ji Temple (Meguro Fudoson),"自然景觀,宗教",排名第 1的目黑區觀光 (共108家),東京都目黑區3-20-26 Shimomeguro153-0064
175,皇居外苑,Kokyo Gaien National Garden,"自然景觀,觀景區",排名第 13的千代田區觀光 (共446家),東京都千代田區皇居外苑3-1100-0002
176,山種美術館,Yamatane Museum of Art,博物館,排名第 17的澀谷區觀光 (共279家),東京都澀谷區3-12-36 Hiroo150-0012
177,表參道之丘,Omotesando Hills,購物,排名第 5的Jingumae觀光 (共24家),東京都澀谷區Jingumae4-12-10150-0001
178,日本橋三越百貨,本店 Nihonbashi Mitsukoshi Honten,購物,排名第 12的中央區觀光 (共577家),東京都中央區日本橋室町1-4-1103-0022
179,台場海洋城,Aqua City Odaiba,購物,排名第 33的港區觀光 (共626家),東京都港區1-7-1 Daiba135-8707
180,國立劇場,National Theatre,表演活動,排名第 11的千代田區觀光 (共446家),東京都千代田區4-1 Hayabusacho102-8656
181,巢鴨地藏通商店街,Sugamo Jizo-dori Shopping Street,自然景觀,排名第 8的豊島區觀光 (共179家),東京都豊島區巢鴨170-0002
182,,The Police Museum,博物館,排名第 31的中央區觀光 (共577家),東京都中央區3-5-1 Kyobashi104-0031
183,不忍池,Shinobazu Pond,自然景觀,排名第 28的台東區觀光 (共560家),東京都台東區Ueno Park110-0007
184,,Ootaguro Park,自然景觀,排名第 1的Ogikubo觀光 (共2家),東京都杉並區Ogikubo3-33-12 Ogikubo
185,林試森林公園,Rinshinomori Park,自然景觀,排名第 2的品川區觀光 (共211家),東京都品川區2 Chome Oyamadai142-0061
186,,Statue of Hachiko & Hidesaburo Ueno,"自然景觀,宗教",排名第 15的文京區觀光 (共297家),東京都文京區1-1-1 YayoiIn front of Anex113-8657
187,宝藏门,Hozomon,"宗教,自然景觀,觀景區",排名第 4的台東區觀光 (共560家),東京都台東區2-3-2 Asakusa111-0032
188,,Toneri Park,自然景觀,排名第 2的足立區觀光 (共99家),"東京都足立區1-1 Tonerikoen,121-0837"
189,,Futako Tamagawa Rise,購物,排名第 9的世田谷區觀光 (共235家),東京都世田谷區2-21-1 Tamagawa158-0094
190,摺紙會館,Origami Kaikan,博物館,排名第 21的文京區觀光 (共297家),東京都文京區湯島1-7-14113-0034
