,中文,英文,標籤
47,國技館,Ryogoku Kokugikan,自然景觀
48,國技館,Ryogoku Kokugikan,場館
49,歌舞伎劇場,Kabukiza Theater,表演活動
50,靖國神社,Yasukuni Shrine,自然景觀
51,靖國神社,Yasukuni Shrine,宗教
52,上野,Ueno,遊客相關
53,上野,Ueno,自然景觀
54,上野,Ueno,其他
55,六義園,Rikugien Garden,自然景觀
56,赤坂離宮(迎賓館)舊址,Akasaka Palace (State Guesthouse),自然景觀
57,赤坂離宮(迎賓館)舊址,Akasaka Palace (State Guesthouse),遊客相關
58,赤坂離宮(迎賓館)舊址,Akasaka Palace (State Guesthouse),觀景區
59,國立科學博物館,National Museum of Nature and Science,博物館
60,國立西洋美術館,National Museum of Western Art,博物館
61,皇居東御苑,The East Gardens of the Imperial Palace (Edo Castle Ruin),自然景觀
62,皇居東御苑,The East Gardens of the Imperial Palace (Edo Castle Ruin),宗教
63,小石川後樂園,Koishikawa Korakuen Garden,自然景觀
64,表參道,Omotesando,遊客相關
65,表參道,Omotesando,自然景觀
66,表參道,Omotesando,其他
67,代代木公園,Yoyogi Park,自然景觀
68,目黑川,Meguro River,自然景觀
69,豪德寺,Gotokuji Temple,自然景觀
70,豪德寺,Gotokuji Temple,宗教
71,彩虹大橋,Rainbow Bridge,自然景觀
72,新宿黃金美食街,Shinjuku Golden Gai,自然景觀
73,合羽橋廚具街,Kappabashi Street (Kappabashi Dogugai),自然景觀
74,增上寺,Zojo-ji Temple,自然景觀
75,增上寺,Zojo-ji Temple,宗教
76,淺草文化觀光中心,Asakusa Culture Tourist Information Center,遊客相關
77,伊勢丹新宿店,Isetan Shinjuku Store,購物
78,泉岳寺,Sengaku-ji Temple,自然景觀
79,泉岳寺,Sengaku-ji Temple,宗教
80,上野阿美橫丁商店街,Ameyoko Shopping Street,自然景觀
81,上野阿美橫丁商店街,Ameyoko Shopping Street,購物
82,中野百老匯,Nakano Broadway,購物
83,,"Roppongi Hills, Shop & Restaurant",購物
84,新宿懷舊居酒屋街,Omoide Yokocho,自然景觀
85,新宿懷舊居酒屋街,Omoide Yokocho,觀景區
86,東京地鐵,Tokyo Metro,遊客相關
87,東京海賊王塔,TOKYO ONE PIECE TOWER,水上樂園和遊樂園
88,東京海賊王塔,TOKYO ONE PIECE TOWER,遊樂園
89,八芳園,Happoen Garden,自然景觀
90,八芳園,Happoen Garden,觀景區
91,三菱美術館,一號館 Mitsubishi Ichigokan Museum,自然景觀
92,三菱美術館,一號館 Mitsubishi Ichigokan Museum,博物館
93,三菱美術館,一號館 Mitsubishi Ichigokan Museum,觀景區
94,東京都庭園美術館,Tokyo Metropolitan Teien Art Museum,博物館
95,Kidzania兒童社會體驗活動中心,KidZania Tokyo,自然景觀
96,Kidzania兒童社會體驗活動中心,KidZania Tokyo,博物館
97,墨田水族館,Sumida Aquarium,自然景觀
98,墨田水族館,Sumida Aquarium,動物園和水族館
99,雷門,Nakamise Shopping Street (Kaminarimon),自然景觀
100,神樂坂,Kagurazaka,遊客相關
101,神樂坂,Kagurazaka,自然景觀
102,神樂坂,Kagurazaka,其他
103,築地外圍海鮮市場,Tsukiji Jogaii Market,自然景觀
104,神田明神神社,Kanda Shrine,自然景觀
105,神田明神神社,Kanda Shrine,宗教
106,,Diver City Tokyo購物廣場 Diver City Tokyo Plaza,購物
107,葛西臨海水族園,Tokyo Sea Life Park,自然景觀
108,葛西臨海水族園,Tokyo Sea Life Park,動物園和水族館
109,東京中城,Tokyo Midtown,購物
110,東京都美術館,Tokyo Metropolitan Art Museum,博物館
111,東京清真寺暨土耳其文化中心,Tokyo Camii & Turkish Culture Center,自然景觀
112,東京清真寺暨土耳其文化中心,Tokyo Camii & Turkish Culture Center,宗教
113,清澄庭園,Kiyosumi Teien,自然景觀
114,明治神宮外苑,Meijijingu Gaien,自然景觀
115,東京晴空街道,TOKYO Solamachi,購物
116,新日本庭園酒店,Hotel New Otani Japanese Garden,自然景觀
117,惠比壽啤酒紀念館,Museum of Yebisu Beer,博物館
118,東京大學,University of Tokyo,自然景觀
119,東京大學,University of Tokyo,教育景點
120,東京大學,University of Tokyo,觀景區
121,等等力溪,森林浴 Todoroki Valley,自然景觀
122,台場海濱公園,Odaiba Kaihin Koen (Odaiba Seaside Park),自然景觀
123,台場海濱公園,Odaiba Kaihin Koen (Odaiba Seaside Park),表演活動
124,東京國立近代美術館,The National Museum of Modern Art,博物館
125,深川江戶資料館,Fukagawa Edo Museum,自然景觀
126,深川江戶資料館,Fukagawa Edo Museum,博物館
127,深川江戶資料館,Fukagawa Edo Museum,觀景區
128,消防博物館,Fire Museum,博物館
129,東京KITTE購物商城,Kitte Marunouchi,購物
130,葛西臨海公園,Kasai Rinkai Park,自然景觀
131,日枝神社,Hie Jinjya,自然景觀
132,日枝神社,Hie Jinjya,宗教
133,品川水族館,Shinagawa Aquarium,自然景觀
134,品川水族館,Shinagawa Aquarium,動物園和水族館
135,湯島天滿宮,Yushima Tenmangu,自然景觀
136,湯島天滿宮,Yushima Tenmangu,宗教
137,柴又帝釋天(帝釋天題經寺),Shibamata Taishakuten (Taishakuten Daikyoji Temple),自然景觀
138,柴又帝釋天(帝釋天題經寺),Shibamata Taishakuten (Taishakuten Daikyoji Temple),宗教
139,下北澤,Shimokitazawa,自然景觀
140,日比谷公園,Hibiya Park,自然景觀
141,,Tsukiji Fish Market,自然景觀
142,,The Sumida Hokusai Museum,博物館
143,原宿竹下通,Takeshita Street,自然景觀
144,原宿竹下通,Takeshita Street,購物
145,忠犬八公像,Hachiko,自然景觀
146,忠犬八公像,Hachiko,宗教
147,城南島海濱公園,Jonanjima SeasidePark,自然景觀
148,銀座三越,Ginza Mitsukoshi,購物
149,世界貿易中心大廈眺望台,"Observatory, Seaside Top",自然景觀
150,世界貿易中心大廈眺望台,"Observatory, Seaside Top",觀景區
151,谷中銀座商店街,Yanaka,遊客相關
152,谷中銀座商店街,Yanaka,自然景觀
153,谷中銀座商店街,Yanaka,其他
154,皇居,Imperial Palace,自然景觀
155,皇居,Imperial Palace,遊客相關
156,皇居,Imperial Palace,觀景區
157,舊古河庭園,Kyu Fukukawa Teien,自然景觀
158,舊古河庭園,Kyu Fukukawa Teien,宗教
159,羽田機場,第二航廈展望台 Tokyo International Airport (Haneda) Terminal No2 Observation Deck,自然景觀
160,羽田機場,第二航廈展望台 Tokyo International Airport (Haneda) Terminal No2 Observation Deck,觀景區
161,池上本門寺,Ikegami Hommon-ji Temple,自然景觀
162,池上本門寺,Ikegami Hommon-ji Temple,宗教
163,,Tokyo Metropolitan Government Buildings Observatories,自然景觀
164,,Tokyo Metropolitan Government Buildings Observatories,遊客相關
165,,Tokyo Metropolitan Government Buildings Observatories,觀景區
166,,Jingu Gaien Ginkgo Tree-lined Street,自然景觀
167,,Jingu Gaien Ginkgo Tree-lined Street,觀景區
168,東京巨蛋,Tokyo Dome,自然景觀
169,東京巨蛋,Tokyo Dome,場館
170,明治神宮棒球場,Jingu Baseball Stadium,休閒與娛樂
171,明治神宮棒球場,Jingu Baseball Stadium,場館
172,東京國立博物館,平成館 Tokyo National Museum The Heiseikan,博物館
173,LaQua天然溫泉,LaQua,水上樂園和遊樂園
174,LaQua天然溫泉,LaQua,遊樂園
175,LaQua天然溫泉,LaQua,自然景觀
176,舊岩崎府邸庭園,Kyu Iwasakitei Teien,自然景觀
177,舊岩崎府邸庭園,Kyu Iwasakitei Teien,宗教
178,地鐵博物館,Subway Museum,博物館
179,,Unicorn Gundam Statue,自然景觀
180,,Unicorn Gundam Statue,宗教
181,淺草神社,Asakusa Shrine,自然景觀
182,淺草神社,Asakusa Shrine,宗教
183,六本木,Roppongi,遊客相關
184,六本木,Roppongi,自然景觀
185,六本木,Roppongi,其他
186,歌舞妓町,Kabukicho,遊客相關
187,歌舞妓町,Kabukicho,自然景觀
188,歌舞妓町,Kabukicho,其他
189,東京椿山莊大酒店,Hotel Chinzanso Tokyo Garden,自然景觀
190,水元公園,Mizumoto Park,自然景觀
191,,Tokyo Trick Art Museum,博物館
192,深川不動堂,Fukagawa Fudodo,自然景觀
193,深川不動堂,Fukagawa Fudodo,宗教
194,羽田機場,國際航廈展望台 Tokyo International Airport International Terminal Observation Deck,自然景觀
195,羽田機場,國際航廈展望台 Tokyo International Airport International Terminal Observation Deck,觀景區
196,NHK放送主題公園,NHK Studio Park,自然景觀
197,東京杜莎夫人蠟像館,Madame Tussauds Tokyo,博物館
198,舊芝離宮恩賜庭園,Former Shiba Rikyu Gardens,自然景觀
199,新宿哥斯拉等比頭雕,Godzilla Head,自然景觀
200,愛宕神社,Atago Shrine,宗教
201,愛宕神社,Atago Shrine,自然景觀
202,愛宕神社,Atago Shrine,觀景區
203,北之丸公園,Kitanomaru Park,自然景觀
204,北之丸公園,Kitanomaru Park,宗教
205,三得利美術館,Suntory Museum of Art,博物館
206,,Ginza Six 購物中心 Ginza Six,購物
207,下町風俗資料館,Shitamachi Museum,博物館
208,都電荒川縣（東京櫻花路面電車）,Toei Streetcar(Toden) Arakawa Line(Tokyo Sakura Tram),遊客相關
209,上野東照宮,Toshogu Shrine,自然景觀
210,上野東照宮,Toshogu Shrine,宗教
211,陽光國際水族館,Sunshine Aquarium,自然景觀
212,陽光國際水族館,Sunshine Aquarium,動物園和水族館
213,,Nissan Crossing,博物館
214,,Kinuta Park,自然景觀
215,惠比壽花園廣場,Ebisu Garden Place,購物
216,高島屋時代廣場,Takashimaya Times Square,購物
217,江戶川區自然動物園,Edogawa Natural Zoo,自然景觀
218,江戶川區自然動物園,Edogawa Natural Zoo,表演活動
219,江戶川區自然動物園,Edogawa Natural Zoo,動物園和水族館
220,築地本願寺,Tsukiji Honganji Temple,自然景觀
221,築地本願寺,Tsukiji Honganji Temple,宗教
222,,Nippori Fabric Town,自然景觀
223,澀谷貓街,Shibuya Cat Street,自然景觀
224,澀谷貓街,Shibuya Cat Street,購物
225,東京21_21Design,sight美術館 21 21 DESIGN SIGHT,博物館
226,神保町二手書街,Kanda Jimbocho Bookstore Area,遊客相關
227,神保町二手書街,Kanda Jimbocho Bookstore Area,自然景觀
228,神保町二手書街,Kanda Jimbocho Bookstore Area,其他
229,朝倉雕塑館,"ASAKURA Museum of Sculpture, Taito",博物館
230,,Asahi Beer Headquarters,自然景觀
231,,Meiji Shrine Imperial Garden,自然景觀
232,東京司教座聖瑪利亞大教堂,"St. Mary's Cathedral, Tokyo",自然景觀
233,東京司教座聖瑪利亞大教堂,"St. Mary's Cathedral, Tokyo",宗教
234,豐川稻荷,Toyokawa Inari Tokyo Betsuin,自然景觀
235,豐川稻荷,Toyokawa Inari Tokyo Betsuin,宗教
236,,Kuhombutsu Joshin-ji Temple,自然景觀
237,,Kuhombutsu Joshin-ji Temple,宗教
238,貨幣博物館,Bank of Japan Currency Museum,博物館
239,,Honda Welcome Plaza Aoyama,自然景觀
240,駒澤奧林匹克公園,Komazawa Olympic Park,自然景觀
241,駒澤奧林匹克公園,Komazawa Olympic Park,休閒與娛樂
242,駒澤奧林匹克公園,Komazawa Olympic Park,場館
243,日本武道館,Nippon Budokan,自然景觀
244,日本武道館,Nippon Budokan,遊客相關
245,日本武道館,Nippon Budokan,表演活動
246,日本武道館,Nippon Budokan,場館
247,石神井公園,Shakujii Park,自然景觀
248,陽光城60展望台,Sky Circus Sunshine60 Observatory,自然景觀
249,陽光城60展望台,Sky Circus Sunshine60 Observatory,觀景區
250,日本國會議事堂,National Diet Building,自然景觀
251,日本國會議事堂,National Diet Building,遊客相關
252,,Yanaka Ginza Shopping Street,自然景觀
253,100,Steps Stairs,自然景觀
254,龜戶天神社,Kameido Tenjinsha,自然景觀
255,龜戶天神社,Kameido Tenjinsha,宗教
256,花園神社,Hanazono Shrine,自然景觀
257,花園神社,Hanazono Shrine,宗教
258,太田現代美術博物館,Ota Memorial Museum of Art,博物館
259,,Tokyo Dome City Attractions,水上樂園和遊樂園
260,,Tokyo Dome City Attractions,遊樂園
261,原美術館,Hara Museum of Contemporary Art (Hara Bijutsukan),博物館
262,護國寺,Gokokuji Temple,自然景觀
263,護國寺,Gokokuji Temple,宗教
264,芝公園,Shiba Park,自然景觀
265,東京大神宮,Tokyo Daijingu Shrine,自然景觀
266,東京大神宮,Tokyo Daijingu Shrine,宗教
267,目黑寄生蟲館,Meguro Parasitological Museum,自然景觀
268,目黑寄生蟲館,Meguro Parasitological Museum,教育景點
269,目黑寄生蟲館,Meguro Parasitological Museum,博物館
270,HIS游客咨询中心,H.I.S. Tourist Information Center Harajuku,遊客相關
271,新宿中央公園,Shinjuku Chuo Park,遊樂園
272,新宿中央公園,Shinjuku Chuo Park,自然景觀
273,新宿中央公園,Shinjuku Chuo Park,休閒與娛樂
274,新宿中央公園,Shinjuku Chuo Park,場館
275,,Hikarie 涉谷店 Shibuya Hikarie,購物
276,隅田川,Sumida River,自然景觀
277,小網神社,Koami Shrine,自然景觀
278,小網神社,Koami Shrine,宗教
279,武藏小山商店街,Musashi Koyama Shopping Street Palm,自然景觀
280,澀谷中央街,Shibuya Center-gai,遊客相關
281,澀谷中央街,Shibuya Center-gai,自然景觀
282,澀谷中央街,Shibuya Center-gai,其他
283,二重橋,Two-tiered Bridge (Ni-ju Bashi),自然景觀
284,二重橋,Two-tiered Bridge (Ni-ju Bashi),宗教
285,烏龜汐留,Caretta Shiodome,購物
286,文京居民活動中心,Bunkyo Civic Center,自然景觀
287,文京居民活動中心,Bunkyo Civic Center,遊客相關
288,,Toyo Bunko Museum,博物館
289,東京站畫廊,Tokyo Station Gallery,博物館
290,Taishakuten-Sando,,遊客相關
291,Taishakuten-Sando,,自然景觀
292,Taishakuten-Sando,,其他
293,代代木八幡宮,Yoyogi Hachimangu Shrine,自然景觀
294,代代木八幡宮,Yoyogi Hachimangu Shrine,宗教
295,瀧泉寺,Ryusen-ji Temple (Meguro Fudoson),自然景觀
296,瀧泉寺,Ryusen-ji Temple (Meguro Fudoson),宗教
297,皇居外苑,Kokyo Gaien National Garden,自然景觀
298,皇居外苑,Kokyo Gaien National Garden,觀景區
299,山種美術館,Yamatane Museum of Art,博物館
300,表參道之丘,Omotesando Hills,購物
301,日本橋三越百貨,本店 Nihonbashi Mitsukoshi Honten,購物
302,台場海洋城,Aqua City Odaiba,購物
303,國立劇場,National Theatre,表演活動
304,巢鴨地藏通商店街,Sugamo Jizo-dori Shopping Street,自然景觀
305,,The Police Museum,博物館
306,不忍池,Shinobazu Pond,自然景觀
307,,Ootaguro Park,自然景觀
308,林試森林公園,Rinshinomori Park,自然景觀
309,,Statue of Hachiko & Hidesaburo Ueno,自然景觀
310,,Statue of Hachiko & Hidesaburo Ueno,宗教
311,宝藏门,Hozomon,宗教
312,宝藏门,Hozomon,自然景觀
313,宝藏门,Hozomon,觀景區
314,,Toneri Park,自然景觀
315,,Futako Tamagawa Rise,購物
316,摺紙會館,Origami Kaikan,博物館
317,西武池袋總店,SEIBU IKEBUKURO Honten,購物
318,,Masakado Kubizuka,自然景觀
319,淺草花屋敷遊樂園,Hanayashiki,水上樂園和遊樂園
320,淺草花屋敷遊樂園,Hanayashiki,遊樂園
321,淺草演芸,Asakusa Engei Hall,表演活動
322,,Asukayama Park,自然景觀
323,立教大學,池袋校區 Rikkyo University Ikebukuro Campus,其他
324,五島美術館,The Gotoh Museum,自然景觀
325,五島美術館,The Gotoh Museum,博物館
326,春花園,BONSAI 美術館 Shunkaen BONSAI Museum,博物館
327,出光美術館,Idemitsu Museum,博物館
328,,Old Asakura family House,自然景觀
329,2k540,AKI-OKA ARTIZAN,購物
330,隅田公園,Sumida Park,自然景觀
331,松屋銀座,Matsuya Ginza,購物
332,目黑天空庭園,Meguro Sky Garden,自然景觀
333,目黑天空庭園,Meguro Sky Garden,觀景區
334,東鄉神社,Togo Shrine,自然景觀
335,東鄉神社,Togo Shrine,宗教
336,,Sunshine 60大廈 Sunshine 60,自然景觀
337,,Sunshine 60大廈 Sunshine 60,觀景區
338,新丸之內大樓,Shin-Marunouchi Building,購物
339,,Design Festa美術館 Design Festa Gallery,購物
340,,Design Festa美術館 Design Festa Gallery,博物館
341,,Design Festa美術館 Design Festa Gallery,場館
342,東京國際會館,Tokyo International Forum,自然景觀
343,東京國際會館,Tokyo International Forum,遊客相關
344,東京國際會館,Tokyo International Forum,觀景區
345,,Tokyo Character Street,自然景觀
346,尼古拉東正教教堂,Holy Resurrection Cathedral,自然景觀
347,尼古拉東正教教堂,Holy Resurrection Cathedral,宗教
348,紅磚廣場,Marunouchi Brick Square,購物
349,月島燒,文字燒街 Tsukishima Monjya Street,其他
350,東京寶塚劇場,Tokyo Takarazuka Theater,表演活動
351,三社祭,Sanja Matsuri,表演活動
352,目白庭園,Mejiro Garden,自然景觀
353,東京都進代文學博物館,Marquis Maeda Old Western Style House,自然景觀
354,東京都進代文學博物館,Marquis Maeda Old Western Style House,博物館
355,東京都進代文學博物館,Marquis Maeda Old Western Style House,觀景區
356,隅田川花火大會,Sumida River Fireworks,表演活動
357,大江戶古董市場,- 東京國際論壇 Oedo Antique Market - Tokyo International Forum,購物
358,大江戶古董市場,- 東京國際論壇 Oedo Antique Market - Tokyo International Forum,宗教
359,東京都寫真美術館,Tokyo Photographic Art Museum,博物館
360,有棲川宮紀念公園,Arisugawa-no-miya Memorial Park,自然景觀
361,日本損保東鄉青兒美術館,Seiji Togo Memorial Sompo Japan Nipponkoa Museum of Art,博物館
362,總持寺(西新井大師),Sojiji Temple (Nishiarai Daishi),自然景觀
363,總持寺(西新井大師),Sojiji Temple (Nishiarai Daishi),宗教
364,和田倉噴泉公園,Wadakura Fountain Park,自然景觀
365,日本國立國會圖書館,National Diet Library,遊客相關
366,日本國立國會圖書館,National Diet Library,場館
367,東京車站,八重洲地下街 Tokyo Station Yaesu Chikagai,購物
368,井草八幡宮,Igusa Hachimangu Folklore Collection,自然景觀
369,井草八幡宮,Igusa Hachimangu Folklore Collection,宗教
370,上野動物園,Ueno Zoo,自然景觀
371,上野動物園,Ueno Zoo,表演活動
372,上野動物園,Ueno Zoo,動物園和水族館
373,羽田機場,第一航廈展望台 Tokyo International Airport (Haneda) Terminal 1 Observation Deck,自然景觀
374,羽田機場,第一航廈展望台 Tokyo International Airport (Haneda) Terminal 1 Observation Deck,觀景區
375,乃木神社,Nogi Shrine,自然景觀
376,乃木神社,Nogi Shrine,宗教
377,皇居路跑區,Imperial Palace Running Course,自然景觀
378,皇居路跑區,Imperial Palace Running Course,表演活動
379,皇居路跑區,Imperial Palace Running Course,觀景區
380,靖國神社御靈祭,Mitama Matsuri,表演活動
381,,Tower Hall Funabori,自然景觀
382,,Tower Hall Funabori,遊客相關
383,,Tower Hall Funabori,觀景區
384,東京車展,Tokyo Motor Show,展覽
385,東京車展,Tokyo Motor Show,表演活動
386,東京車站一番街,First Avenue Tokyo Station,購物
387,洗足池公園,Senzokuike Park,自然景觀
388,洗足池公園,Senzokuike Park,觀景區
389,東京藝術劇場,Tokyo Metropolitan Theatre,表演活動
390,和光百貨,本店 Wako Ginza,購物
391,日本科學未來館,National Museum of Emerging Science and Innovation Miraikan,博物館
392,新宿南方廣場百貨,Shinjuku Southern Terrace,自然景觀
393,東京大學附屬植物園,Koishikawa Botanical Garden,自然景觀
394,,Tokyo Midtown Hibiya,購物
395,葛飾柴又寅先生紀念館,Katsushika Shibamata Torasan Memorial Hall,博物館
396,目黑河燈飾展,megurogawa MINNA no ILLUMI,表演活動
397,新宿十二社,熊野神社 Kumano Shrine,自然景觀
398,新宿十二社,熊野神社 Kumano Shrine,宗教
399,東京跨海大橋,Tokyo Gate Bridge,自然景觀
400,,Jiyu Gakuen Myonichikan,自然景觀
401,,Jiyu Gakuen Myonichikan,教育景點
402,,Jiyu Gakuen Myonichikan,遊客相關
403,,Jiyu Gakuen Myonichikan,宗教
404,,Yamamototei,自然景觀
405,,Yamamototei,宗教
406,,Harajuku Station,自然景觀
407,,Harajuku Station,觀景區
408,,Hanegi Park,遊樂園
409,,Hanegi Park,自然景觀
410,,Hanegi Park,休閒與娛樂
411,,TenQ,博物館
412,,Billboard Live音樂餐廳 Billboard Live Tokyo,表演活動
413,,Takashimaya Nihombashi,自然景觀
414,,Takashimaya Nihombashi,購物
415,,Takashimaya Nihombashi,觀景區
416,東京馬拉松,Tokyo Marathon,表演活動
417,,Nittere Plaza,其他
418,棒球體育博物館,The Baseball Hall of Fame and Museum,博物館
419,,Jujo Ginza Shopping Arcade,自然景觀
420,,Suga Shrine,自然景觀
421,,Suga Shrine,宗教
422,胡蘿蔔塔,Carrot Tower,自然景觀
423,胡蘿蔔塔,Carrot Tower,觀景區
424,晴海埠頭,Harumi Wharf,自然景觀
425,新大久保韓國城,Shin Okubo Korean Town,自然景觀
426,表參道,東急Plaza百貨 Tokyu Plaza Omotesando Harajuku,購物
427,精工博物館,The Seiko Museum,博物館
428,鬼子母神,Kishimojindo,自然景觀
429,鬼子母神,Kishimojindo,宗教
430,,Yebisu Garden Place Tower,自然景觀
431,,Yebisu Garden Place Tower,觀景區
432,東京國際會展中心,Tokyo Big Sight,自然景觀
433,東京國際會展中心,Tokyo Big Sight,遊客相關
434,東京國際會展中心,Tokyo Big Sight,觀景區
435,相田光男美術館,Mitsuo Aida Museum,博物館
436,銀座東急Plaza購物中心,Tokyu Plaza Ginza,購物
437,,Amuse Museum,博物館
438,鈴木演藝場,Suzumoto Performing Arts Hall,表演活動
439,品川神社,Shinagawa Shrine,自然景觀
440,品川神社,Shinagawa Shrine,宗教
441,湯島聖堂,Yushima Seido,自然景觀
442,湯島聖堂,Yushima Seido,宗教
443,太陽城,Sunshine City,購物
444,,Tobacco & Salt Museum,博物館
445,,Coredo Muromachi 1,購物
446,,Institute of Nature Study,自然景觀
447,新江戶川公園,Higo-Hosokawa Garden,自然景觀
448,新江戶川公園,Higo-Hosokawa Garden,觀景區
449,台場調色盤遊樂園,Pallete Town,水上樂園和遊樂園
450,台場調色盤遊樂園,Pallete Town,遊樂園
451,,Nakano San Mall Shopping Street,自然景觀
452,,Hobby Center Kato Tokyo,博物館
453,,Yushukan,博物館
454,NHK放送博物館,NHK Museum of Broadcasting,博物館
455,六本木櫻花坂,Roppongi Sakurazaka,自然景觀
456,六本木櫻花坂,Roppongi Sakurazaka,觀景區
457,東京都現代美術館,Museum of Contemporary Art Tokyo,博物館
458,柴又,Shibamata,遊客相關
459,柴又,Shibamata,自然景觀
460,柴又,Shibamata,其他
461,,Futakotamagawa Park,自然景觀
462,,Japan Ground Defence Force PR center,博物館
463,荒川區,Arakawa Yuen,水上樂園和遊樂園
464,荒川區,Arakawa Yuen,遊樂園
465,日本民藝館,Japan Folk Crafts Museum (Mingeikan),博物館
466,千鳥淵公園,Chidoriga-fuchi Park,自然景觀
467,國際文化會館,International House of Japan,自然景觀
468,三之丸尚藏館,Sannomaru Shozokan,博物館
469,岡本太郎紀念館,Taro Okamoto Memorial Museum,博物館
470,,Meiji Kinenkan,自然景觀
471,東京國立近代美術館工藝館,"The National Museum of Modern Art Tokyo, Craft Gallary",博物館
472,板橋花火節,Itabashi Fireworks,表演活動
473,,Tokyu Setagaya Line,遊客相關
474,,The University Art Museum - Tokyo University of the Arts,博物館
475,,Kiyomizu Kannon-do,自然景觀
476,,Kiyomizu Kannon-do,宗教
